"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
660.822893,435.666366,810.037002,476.406038,976.184191,593.703779,1028.2009,635.234206,1434.605358,798.728324,782.187663,529.930915,786.472182,594.891314,932.750696,636.700042,942.759741,687.483007
658.7961,434.972348,808.455345,475.777482,975.023247,592.841004,1027.301599,633.555641,1425.029112,792.560523,780.38108,528.979264,786.356981,596.161821,932.427752,636.750094,941.56271,686.515509
656.402039,434.004849,806.090839,474.630818,973.07253,591.766006,1026.237572,631.620645,1415.752123,785.667099,777.322001,527.689267,785.726446,595.652192,930.803988,634.960452,940.498683,685.709261
653.874974,432.714852,803.962785,474.200818,970.944475,590.691008,1024.774534,628.556901,1410.066227,785.667099,775.060943,526.560519,785.726446,594.123306,929.623069,633.886666,939.567659,683.290515
650.815895,430.618606,801.480054,473.054154,967.752393,588.326013,1021.981462,625.331907,1409.467711,788.932405,772.267871,523.980524,785.281909,591.681972,928.589765,632.812881,938.902642,682.000518
647.091799,429.812358,798.051521,472.050823,964.382973,586.821016,1018.78938,622.590662,1411.562515,791.472088,768.809782,521.884278,783.88072,587.774819,926.227927,631.560131,938.104621,679.259273
642.303676,428.36111,794.741214,470.187493,961.545567,585.316019,1015.198288,619.849418,1418.146185,794.737394,765.085686,519.465533,782.619651,582.678533,923.128014,629.41256,937.439604,676.03428
639.244597,427.716112,789.775753,468.18083,958.885498,584.026021,1011.607196,617.269423,1423.832081,793.648959,761.563749,517.163382,781.358581,577.41237,920.323331,627.622918,935.976566,672.970536
633.259443,426.264865,784.692066,465.744168,954.274713,582.091025,1008.016103,615.334427,1427.722431,793.648959,758.10566,514.583387,778.556205,571.806455,916.780573,624.938454,932.784484,669.584292
628.205313,424.813617,779.844831,463.737505,949.841266,579.72603,1005.888048,613.076931,1431.912039,792.923335,753.317537,512.325892,776.174184,566.370417,912.352126,622.969848,928.794382,665.55305
624.21521,423.52362,775.11582,461.58751,945.585156,577.361034,1002.562963,610.980685,1435.503131,790.746464,749.194431,509.745897,771.550263,561.613883,908.218909,620.822277,924.405269,662.166807
619.294084,422.394872,771.462512,459.974701,940.797033,575.641038,997.242826,608.884439,1437.597935,791.109276,744.140301,507.004652,767.907173,555.668215,904.528536,618.674706,920.415166,660.231811
614.771967,420.943625,766.940395,457.717205,937.250275,573.921041,992.454703,607.594442,1439.393481,792.560523,739.751188,504.263407,762.862895,551.591186,898.03348,616.348171,916.69107,658.135565
609.850841,419.331128,762.152272,455.29846,931.575462,571.986045,987.267569,606.626944,1439.393481,795.463018,735.894089,501.844662,757.678499,545.985271,893.309804,614.2006,911.503937,655.878069
605.860738,416.912383,757.896162,453.363464,925.90065,570.051049,982.745453,604.853197,1437.298678,800.179571,731.637979,499.264667,753.334815,542.078118,888.290897,611.874065,905.77198,653.244969
602.402649,414.493638,753.640053,452.073466,921.467202,567.901053,977.824326,603.40195,1433.408327,802.356442,726.982859,496.845922,748.570775,539.190223,883.419605,610.263387,902.459704,651.846827
598.924396,412.495599,749.117937,449.493471,917.388431,566.396056,973.568217,602.273202,1428.021689,802.356442,722.72675,494.265927,742.545665,534.603565,878.105469,607.578923,897.538577,649.428082
595.732314,410.238104,746.058858,447.397225,913.309659,564.46106,969.445111,600.983205,1421.138762,801.630818,718.337637,492.169681,737.781625,531.206041,873.529407,605.789281,891.287417,647.331836
593.604259,408.303108,743.265786,445.784728,909.053549,562.526063,965.055998,598.886959,1414.255835,800.179571,715.544565,489.428436,732.036752,528.148269,868.5105,603.999638,888.494345,646.364338
591.210198,404.755615,741.270735,444.494731,905.152116,560.806067,961.863916,597.596961,1412.759546,798.0027,712.485486,487.33219,728.814019,525.939878,864.820128,601.494139,884.637245,644.751841
589.74716,399.918124,738.078652,443.043484,902.492047,558.87107,958.93784,595.823215,1414.255835,795.825829,709.958421,485.235945,724.190098,524.410992,862.458289,599.704497,880.951079,643.477103
588.94914,396.209381,733.68954,441.108488,899.831979,556.506075,957.075792,593.888218,1415.153608,792.560523,705.037295,483.300948,719.566176,522.542354,859.489043,597.619526,877.758997,641.058358
588.417126,392.984388,730.763464,439.012242,896.994572,554.14108,954.28272,591.791973,1414.85435,787.84397,701.978216,480.720953,715.082374,520.843592,856.695971,595.68453,874.566915,637.994614
587.353099,388.630646,727.305375,436.915996,894.157166,551.346085,951.489649,588.728229,1413.058804,783.127417,699.617383,479.447203,709.516177,518.997207,853.902899,593.588284,871.507836,634.285871
585.358047,383.631906,725.842338,435.625998,892.206449,549.841088,949.095587,586.470733,1411.861773,778.048052,697.356325,477.512207,707.521126,518.190958,851.508837,591.975787,869.379781,631.222127
584.427023,380.245662,723.98029,433.691002,889.901057,548.121091,946.435519,584.051988,1411.263258,776.596804,694.43025,474.932212,703.664027,516.417212,849.380783,590.20204,867.38473,627.190885
583.362996,377.504418,721.985238,431.756006,887.418326,546.186095,943.77545,581.955742,1410.066227,774.419934,691.770181,472.352217,699.673924,514.482216,846.986721,588.428294,866.054695,624.449641
582.165965,374.601923,720.35924,429.61798,885.290271,544.466099,940.849375,580.020746,1407.07365,771.880251,689.243116,470.094722,697.146859,512.38597,844.99167,586.493297,864.724661,620.902147
580.03791,371.860679,719.034017,427.937226,882.452865,542.746102,938.709102,578.022733,1404.679588,768.614945,686.716051,467.514727,693.68877,510.773473,842.730612,584.880801,863.261624,617.354654
577.909856,369.441934,717.024187,425.500565,880.147472,540.596106,936.71405,576.248986,1403.482557,766.800886,684.32199,465.095981,691.294708,509.644725,840.203547,583.268304,862.064593,614.774659
575.914804,367.184438,714.777907,422.347237,877.664742,539.091109,934.186985,574.47524,1401.387753,763.53558,682.060932,462.515986,689.299657,509.160976,838.208495,581.978306,860.601555,613.484662
574.18576,364.443193,712.531627,419.19391,875.714025,537.586112,932.590944,573.346492,1398.095919,759.907462,680.331887,460.258491,686.373582,508.677227,836.346447,580.527059,859.271521,613.323412
572.323712,362.185698,710.876473,416.757248,873.940646,536.296115,930.595893,572.056495,1394.504826,755.190909,679.26786,458.968493,685.176551,508.193478,834.218393,579.237062,857.27647,614.129661
