"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
446.244253,228.519421,595.565191,288.819628,750.489432,415.674634,801.081946,452.226854,1243.253231,656.988644,557.5899,341.203212,580.894875,400.364208,706.278141,456.12227,712.598568,505.865857
445.446232,229.728794,594.431885,289.143227,750.56811,416.204291,801.829246,452.679857,1238.465108,653.844276,557.689233,342.232961,584.618971,400.525457,707.444481,456.970693,713.795599,506.349606
444.777985,230.205522,593.98854,289.680726,750.56811,416.365541,802.950197,452.377855,1233.676985,651.909279,557.600564,342.447961,586.747026,399.07421,708.610821,458.101924,715.39164,508.284602
443.580954,231.495519,592.747175,290.325725,750.302103,416.68804,802.825647,452.528856,1228.489851,649.974283,556.447868,343.200459,587.279039,397.461713,708.727455,459.233155,716.987681,508.768351
442.383923,232.785516,592.325573,290.927379,750.036096,416.84929,802.728531,452.569376,1224.499749,652.151154,554.763158,342.87796,587.279039,395.526717,708.844089,460.222982,718.849729,511.025847
440.920886,233.753015,591.734447,291.214045,749.238076,417.171789,801.067863,452.670043,1223.901233,655.053648,552.90111,343.200459,587.013032,393.430471,708.494187,459.374559,719.115736,510.864597
439.324845,234.236764,591.497996,291.787377,746.977018,417.978038,800.237529,452.670043,1222.903707,655.053648,551.571076,342.55546,586.481019,389.882978,708.260919,460.505789,718.716726,510.703348
436.930783,234.559263,589.961068,292.360709,744.981966,417.816788,799.158096,452.972045,1219.91113,655.779272,549.975035,342.55546,585.682998,386.657985,707.094579,460.647193,717.519695,510.219599
435.866756,234.075514,587.478337,292.217376,743.651932,418.784286,797.165294,453.274048,1217.517069,655.537397,548.645001,342.232961,584.751974,383.75549,705.228435,460.930001,717.253688,509.41335
435.334742,234.075514,585.704958,292.360709,742.587905,419.429285,795.172493,453.878052,1214.125482,656.74677,546.516946,341.695462,584.618971,382.465493,703.828827,460.222982,716.588671,507.962103
434.935732,233.430515,584.522706,291.93071,741.124867,419.590534,792.847558,455.388063,1213.127956,656.988644,545.186912,340.620464,582.889926,379.240499,702.195951,460.505789,715.790651,507.317104
435.068735,232.785516,582.985777,291.500711,740.06084,420.235533,791.519024,456.294069,1211.73142,657.472393,542.881519,339.330467,581.027878,375.854256,700.213173,460.222982,715.125633,506.672106
435.334742,231.979268,582.394651,291.214045,738.597802,420.880532,790.024424,457.502078,1209.935874,657.956142,541.994829,338.362969,579.032827,372.468012,698.930199,460.505789,714.460616,505.382108
435.467745,231.656769,582.867552,291.357378,737.400771,422.00928,788.446789,459.314091,1209.536863,658.681766,542.438174,337.50297,578.500813,370.694266,697.647225,460.364386,713.795599,504.41461
436.664776,231.979268,582.985777,291.787377,735.671727,422.815528,787.782522,460.622767,1208.938348,660.374888,543.236195,337.82547,578.76682,369.081769,696.014349,460.647193,712.199558,502.157114
436.79778,231.656769,582.867552,291.644044,734.607699,422.976778,787.284322,461.931443,1207.342307,661.100511,543.147526,338.040469,578.633817,368.27552,695.197911,460.081578,711.002527,499.899619
437.462797,231.495519,583.222228,293.364041,733.809679,423.138027,786.952188,463.240119,1204.74874,661.100511,543.502202,338.362969,578.234806,367.308022,694.264839,459.515962,710.869524,498.770871
438.260817,231.01177,583.813354,294.367372,733.676675,423.299277,786.952188,463.240119,1200.559132,658.439892,543.768208,338.362969,578.234806,367.469272,692.981865,458.808943,711.667544,496.190876
438.792831,229.560523,583.340453,295.084037,733.410669,422.654278,787.035222,463.139451,1196.17002,654.328025,543.679539,338.792968,579.298834,368.27552,692.165427,458.243328,712.332562,493.610881
439.324845,227.786776,583.222228,295.657369,732.346641,421.68678,786.620055,463.240119,1193.376948,650.941781,543.502202,338.900468,579.697844,370.371766,691.348989,457.394905,712.864575,490.869636
440.122865,226.496779,582.985777,296.230702,731.14961,420.235533,785.291521,462.43478,1191.980412,647.313663,543.768208,339.545466,579.431837,371.661764,690.066015,456.263674,713.662596,486.515895
440.521876,226.01303,582.631102,297.234033,730.7506,420.074283,784.710287,461.327438,1192.179917,646.58804,543.502202,340.082965,578.633817,374.564258,689.599479,455.839463,714.327613,482.968402
440.521876,225.206781,582.1582,297.664032,729.819576,419.429285,783.630853,460.018762,1194.174968,645.378667,543.502202,339.760466,578.633817,377.305503,688.666407,455.698059,714.726623,479.904658
439.590852,224.723032,582.1582,297.950698,728.755549,418.784286,782.883553,458.710086,1196.96804,643.92742,543.856877,340.297965,577.9688,380.369247,688.083237,455.415251,715.258637,478.292161
438.925834,224.400533,581.567074,297.950698,728.223535,417.816788,781.721085,457.602745,1200.559132,640.541177,544.034215,340.405465,577.835796,382.787992,686.916897,454.708232,714.327613,476.840914
438.260817,223.916784,581.685299,298.094031,727.425515,417.010539,780.807718,456.696739,1203.551709,637.154933,544.034215,340.297965,577.436786,386.012986,686.217093,454.001213,710.204507,477.324663
437.5958,223.594284,581.330624,297.664032,726.893501,416.52679,780.060418,455.992067,1206.544286,633.526815,543.945546,340.620464,577.303783,387.947982,685.517289,453.718405,708.076452,478.93716
436.664776,222.788036,580.621272,296.947367,726.09548,416.043041,779.064017,455.186728,1210.534389,631.349944,543.768208,340.512964,576.771769,390.689227,685.284021,453.435597,705.549387,480.549657
436.132763,222.626786,579.67547,297.0907,725.563467,415.559292,777.984583,454.784058,1213.925976,630.866195,543.679539,340.512964,576.239755,393.269222,684.817485,453.435597,703.554336,482.000904
