"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
18.258248,6.750822,7.175045,16.324256,7.198401,8.350613,14.12248,7.644132,8.718517,12.804406,7.867723,8.235207,6.243373,11.108272,9.00357,16.200874,6.481806,7.98929,15.167422,5.851487,8.258978,14.217678,7.226064,8.161763,13.563567,7.083015,7.645914
18.276061,6.692469,7.154772,16.340144,7.162092,8.338996,14.151333,7.643762,8.722821,12.834716,7.841627,8.2554,6.321086,11.190412,8.987034,16.209542,6.44687,7.983887,15.173092,5.853813,8.251909,14.237859,7.231722,8.165396,13.600086,7.0716,7.678334
18.293789,6.639448,7.134098,16.356528,7.114909,8.322247,14.17794,7.654529,8.732543,12.847647,7.813717,8.280535,6.426752,11.280275,8.981954,16.225079,6.398518,7.973781,15.167594,5.866585,8.245894,14.264563,7.23543,8.167953,13.64982,7.064029,7.70821
18.310329,6.583465,7.112618,16.37022,7.070407,8.313458,14.207275,7.662394,8.733818,12.874667,7.801998,8.300707,6.51389,11.337893,8.930547,16.231959,6.368775,7.967729,15.163284,5.859818,8.236764,14.291677,7.235645,8.175947,13.673285,7.059945,7.743384
18.321986,6.526984,7.092778,16.381471,7.023175,8.301802,14.232474,7.664673,8.734343,12.908516,7.79836,8.324838,6.60875,11.375232,8.874419,16.242195,6.333875,7.961728,15.162349,5.845905,8.236348,14.324818,7.237721,8.182563,13.70099,7.067627,7.757475
18.330528,6.473184,7.076543,16.39897,6.976187,8.288441,14.263946,7.678009,8.737394,12.93562,7.814506,8.349295,6.6856,11.423951,8.796291,16.254638,6.301622,7.953493,15.165241,5.831908,8.232986,14.345681,7.247151,8.189739,13.730159,7.090364,7.77241
18.342972,6.42774,7.060577,16.414533,6.919582,8.274857,14.289453,7.677785,8.738555,12.973962,7.835613,8.366215,6.755463,11.460109,8.70368,16.266112,6.244871,7.944292,15.167996,5.806431,8.225244,14.377622,7.250347,8.182992,13.759003,7.10521,7.781392
18.361148,6.377065,7.039483,16.422984,6.864972,8.262983,14.313014,7.674844,8.738574,13.013335,7.856783,8.378991,6.827645,11.490332,8.602714,16.26975,6.190925,7.942726,15.180332,5.756742,8.217615,14.395243,7.244525,8.181434,13.783346,7.121778,7.775386
18.381975,6.332291,7.020943,16.434083,6.810632,8.252884,14.338715,7.669191,8.739286,13.044192,7.889307,8.386696,6.876197,11.484789,8.485425,16.281889,6.136647,7.931416,15.194393,5.718462,8.212613,14.414076,7.238853,8.17928,13.804867,7.142006,7.789641
18.396417,6.297685,7.005829,16.443608,6.753671,8.241527,14.360349,7.655405,8.73796,13.072253,7.907709,8.38992,6.890411,11.439462,8.340747,16.288745,6.087614,7.922992,15.213002,5.666255,8.203573,14.427699,7.231226,8.178267,13.824467,7.171356,7.783831
18.412723,6.257715,6.9885,16.459558,6.692083,8.226519,14.383012,7.625481,8.737335,13.115104,7.939678,8.396258,6.870989,11.35887,8.181227,16.299001,6.036227,7.915601,15.23364,5.594795,8.194241,14.440965,7.221802,8.177336,13.832987,7.192812,7.767607
18.435516,6.218359,6.969478,16.47181,6.649566,8.217093,14.412868,7.606362,8.734116,13.161103,7.968468,8.403987,6.805088,11.253246,8.01112,16.311113,5.981908,7.904895,15.250909,5.532032,8.190678,14.451798,7.199631,8.177555,13.851886,7.207721,7.770336
18.455717,6.189518,6.952804,16.482888,6.590102,8.204452,14.422787,7.562959,8.735264,13.203078,7.988857,8.41226,6.720033,11.094591,7.913013,16.324856,5.922205,7.893606,15.27313,5.460802,8.182612,14.457193,7.173941,8.181407,13.872766,7.216754,7.760963
18.469916,6.15763,6.939062,16.504832,6.521335,8.185576,14.44442,7.514245,8.735214,13.240496,8.004093,8.421878,6.641565,10.921682,7.895583,16.344911,5.873479,7.878799,15.289773,5.373144,8.179065,14.458768,7.139195,8.186322,13.887419,7.218093,7.74972
18.496173,6.126219,6.917135,16.520143,6.471607,8.173736,14.457875,7.443936,8.736299,13.273665,8.013929,8.431108,6.547007,10.745072,7.907075,16.36521,5.816911,7.86685,15.307865,5.308439,8.179889,14.456558,7.108608,8.201441,13.898572,7.197807,7.756273
18.524983,6.100728,6.895997,16.532755,6.436267,8.1656,14.469649,7.381834,8.739862,13.303751,8.010103,8.440305,6.449709,10.550272,7.932192,16.388325,5.760314,7.852489,15.325865,5.226929,8.180362,14.453797,7.059562,8.215304,13.908088,7.170201,7.762869
18.550523,6.071578,6.876509,16.551478,6.38912,8.153339,14.471518,7.30593,8.742356,13.333919,7.989919,8.460764,6.328382,10.333659,7.941424,16.399253,5.717157,7.846318,15.341408,5.156968,8.186055,14.450043,6.966664,8.229934,13.91517,7.123055,7.780016
18.572936,6.052555,6.8618,16.573558,6.339577,8.138291,14.47566,7.219286,8.745386,13.364844,7.958743,8.486858,6.215729,10.117506,7.968086,16.431977,5.665743,7.822208,15.369977,5.094775,8.179942,14.451868,6.884651,8.247,13.914454,7.079074,7.806172
18.596135,6.018523,6.845729,16.591579,6.303267,8.128143,14.488844,7.143593,8.748733,13.384229,7.903052,8.504751,6.114202,9.89723,8.001393,16.47365,5.609672,7.79814,15.396734,5.038229,8.175694,14.473839,6.810671,8.252255,13.911923,7.010552,7.843516
18.613673,5.993907,6.83136,16.614391,6.265292,8.112808,14.495267,7.061859,8.749718,13.401308,7.830783,8.518018,6.02049,9.683664,8.049049,16.522974,5.547837,7.769594,15.423659,4.973283,8.170247,14.483499,6.747734,8.261198,13.909587,6.937607,7.886117
18.640951,5.972707,6.814008,16.635557,6.225095,8.09707,14.505407,6.977616,8.748609,13.412684,7.758756,8.533182,5.945534,9.47299,8.084157,16.553006,5.515397,7.746943,15.459815,4.919099,8.157406,14.489971,6.657555,8.276604,13.91237,6.848851,7.913917
18.670212,5.959309,6.797098,16.658306,6.199543,8.083758,14.511637,6.904475,8.752427,13.423218,7.673107,8.55066,5.872937,9.260907,8.10813,16.578236,5.483276,7.730776,15.498436,4.859398,8.14256,14.48568,6.57,8.293444,13.916861,6.754972,7.938923
18.688968,5.948358,6.790041,16.68237,6.171788,8.071069,14.521308,6.823016,8.753176,13.442907,7.57903,8.568169,5.843395,9.076587,8.126467,16.617865,5.457071,7.70729,15.550806,4.780271,8.117797,14.482152,6.501704,8.308429,13.926738,6.666888,7.974936
18.714874,5.929524,6.773016,16.708097,6.148943,8.058357,14.530934,6.741626,8.755538,13.448887,7.471374,8.583095,5.813896,8.898922,8.116891,16.654398,5.431498,7.691157,15.585124,4.708821,8.099412,14.48201,6.408398,8.321674,13.923875,6.586958,8.01709
