"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
19.895442,11.689684,11.413367,18.196928,11.113408,10.714386,16.431322,11.119287,8.659138,15.501898,10.755307,7.584676,9.070284,11.154899,3.140319,18.705019,10.416534,9.728008,18.70853,9.240785,8.736818,16.942126,10.826291,7.629391,17.006768,10.751442,6.807766
19.909809,11.701853,11.425258,18.201757,11.125869,10.718289,16.438456,11.117307,8.671006,15.502984,10.825439,7.59727,9.10487,11.199205,3.223925,18.725032,10.417689,9.74233,18.704278,9.213042,8.754281,16.923407,10.826954,7.608569,16.992974,10.780029,6.798409
19.911721,11.707959,11.426485,18.21888,11.131467,10.72353,16.444225,11.115872,8.680641,15.498219,10.895632,7.613469,9.155035,11.233928,3.339458,18.75,10.421127,9.747604,18.706378,9.201403,8.792651,16.913284,10.828933,7.60624,16.948689,10.793361,6.792526
19.938493,11.718456,11.442094,18.227517,11.121678,10.744437,16.450955,11.070981,8.697558,15.469182,10.943354,7.64332,9.20032,11.18783,3.426004,18.778715,10.409845,9.762616,18.701255,9.188729,8.815493,16.902793,10.827021,7.603733,16.917659,10.807579,6.793834
19.966691,11.727878,11.445258,18.246278,11.129683,10.768817,16.464409,11.045532,8.691439,15.467829,10.993446,7.662541,9.249836,11.04925,3.50207,18.787968,10.400768,9.785499,18.71962,9.166472,8.815957,16.89203,10.82301,7.588366,16.875844,10.806595,6.792745
19.990266,11.727019,11.444236,18.263949,11.127896,10.777316,16.472224,11.013556,8.727203,15.456822,11.027775,7.703137,9.262881,10.952713,3.525449,18.811253,10.383849,9.798233,18.728814,9.155988,8.813243,16.871862,10.808468,7.58229,16.865486,10.785538,6.785384
20.021121,11.738011,11.45044,18.2889,11.133539,10.792621,16.487553,10.969143,8.739471,15.45705,11.061129,7.724176,9.275656,10.800067,3.528276,18.827216,10.38165,9.809194,18.730769,9.122237,8.816923,16.867583,10.763759,7.564451,16.83384,10.767642,6.79047
20.044383,11.731199,11.452197,18.319883,11.132853,10.815754,16.504121,10.931089,8.771376,15.455363,11.086813,7.748469,9.263667,10.513342,3.558039,18.846365,10.366271,9.811396,18.734239,9.098828,8.845702,16.859413,10.737411,7.569462,16.815626,10.755114,6.828246
20.07587,11.735144,11.450055,18.343047,11.136509,10.828918,16.518244,10.896458,8.804995,15.45637,11.108041,7.77336,9.269389,10.330336,3.572097,18.858321,10.364161,9.826433,18.732373,9.091495,8.884493,16.848884,10.712382,7.572673,16.789103,10.707823,6.835263
20.094799,11.737975,11.449098,18.37099,11.13268,10.846882,16.527658,10.848194,8.817795,15.457888,11.132065,7.785627,9.265219,10.116091,3.590543,18.875424,10.348609,9.837013,18.720629,9.073048,8.961949,16.831712,10.672481,7.571489,16.766256,10.682614,6.841934
20.12349,11.736653,11.44835,18.398679,11.128403,10.863361,16.550164,10.807202,8.840026,15.463299,11.145415,7.813586,9.252564,9.898819,3.568474,18.889833,10.35449,9.864291,18.714293,9.061411,9.001811,16.825296,10.639808,7.567704,16.73125,10.655773,6.856244
20.143405,11.736852,11.445791,18.428294,11.128449,10.875943,16.568402,10.770496,8.86684,15.469785,11.150377,7.825571,9.247731,9.706891,3.548164,18.915846,10.335475,9.866758,18.726089,9.049922,9.055237,16.81231,10.609621,7.609646,16.707354,10.658858,6.878242
20.148671,11.732995,11.456656,18.444314,11.129891,10.882737,16.586919,10.71096,8.881771,15.476184,11.125702,7.836622,9.236939,9.524541,3.525978,18.920318,10.334051,9.880995,18.727804,9.026654,9.066124,16.801794,10.566465,7.649052,16.663622,10.59898,6.908149
20.162484,11.738184,11.454826,18.477804,11.13879,10.897388,16.604674,10.680803,8.898273,15.473821,11.094132,7.849098,9.224183,9.335071,3.478164,18.935645,10.336835,9.893802,18.745059,9.022222,9.090478,16.800827,10.531191,7.646335,16.63373,10.504672,6.908662
20.177156,11.735949,11.471266,18.512187,11.148518,10.920907,16.622847,10.650676,8.91273,15.464432,11.061428,7.856866,9.22741,9.155076,3.453043,18.955951,10.336675,9.908125,18.759916,9.013991,9.116659,16.797231,10.490372,7.65554,16.613037,10.423182,6.943074
20.199937,11.740351,11.47843,18.535032,11.162362,10.934596,16.638405,10.617864,8.923325,15.476274,11.007694,7.866158,9.233243,8.961056,3.408848,18.976589,10.34714,9.925006,18.776482,9.013541,9.139503,16.803991,10.435852,7.666421,16.597982,10.349179,6.94602
20.208055,11.744958,11.488658,18.55595,11.169023,10.945893,16.659815,10.584109,8.939208,15.48526,10.957007,7.874294,9.247951,8.743516,3.375176,19.003637,10.360734,9.938726,18.800243,9.017883,9.15942,16.834173,10.386726,7.672369,16.586691,10.269622,6.964333
20.24506,11.758882,11.500216,18.582642,11.179562,10.965617,16.695698,10.549725,8.967352,15.509453,10.916732,7.907042,9.272928,8.587976,3.365249,19.032789,10.372623,9.944013,18.819861,9.019914,9.186241,16.844306,10.330877,7.699003,16.58413,10.192781,6.995869
20.265555,11.764231,11.519783,18.60503,11.190424,10.975299,16.71328,10.515892,8.973163,15.534208,10.843736,7.912596,9.305147,8.409637,3.366826,19.057297,10.39695,9.972098,18.845237,9.030269,9.20838,16.891471,10.26553,7.73052,16.574228,10.11514,7.053761
20.285608,11.774343,11.524244,18.631998,11.204283,10.983069,16.746696,10.487316,8.985803,15.574913,10.773587,7.923954,9.338019,8.257559,3.422722,19.072377,10.419123,9.989502,18.868993,9.0428,9.239907,16.90209,10.228387,7.760371,16.567239,10.036461,7.087349
20.295819,11.790397,11.530423,18.659226,11.214168,10.993074,16.758846,10.457111,8.994053,15.596264,10.673182,7.928612,9.384744,8.105029,3.506604,19.09585,10.431205,9.991058,18.87881,9.052224,9.267905,16.934808,10.164371,7.776263,16.55618,9.961524,7.075174
20.305404,11.804815,11.531787,18.687022,11.226546,11.004665,16.783031,10.398972,9.009588,15.618952,10.618221,7.939415,9.438714,8.034818,3.638307,19.115574,10.458312,10.017562,18.892768,9.059154,9.284564,16.968253,10.113282,7.79508,16.567794,9.880939,7.09812
20.318905,11.849504,11.537336,18.710906,11.253609,11.013614,16.804012,10.357842,9.024364,15.648271,10.547655,7.956288,9.482767,7.997267,3.75713,19.145566,10.484829,10.036816,18.917657,9.070599,9.309433,16.990008,10.066006,7.813052,16.575876,9.820253,7.102856
20.32561,11.893689,11.534794,18.726019,11.280615,11.025731,16.827377,10.312294,9.039789,15.674131,10.454903,7.969255,9.534857,7.95569,3.914674,19.165977,10.520076,10.051419,18.953528,9.088781,9.32022,17.037707,10.010317,7.855827,16.592343,9.730372,7.123229
20.342888,11.945572,11.544432,18.747994,11.30468,11.03624,16.852886,10.278893,9.053196,15.714967,10.358123,7.974412,9.560549,7.96914,4.073762,19.202881,10.558208,10.062573,18.968402,9.102924,9.344639,17.062961,9.978477,7.882225,16.617409,9.657216,7.140212
20.351878,11.978795,11.546667,18.768196,11.330376,11.059772,16.889206,10.23749,9.068245,15.7496,10.280256,7.995656,9.579558,8.040701,4.193008,19.220219,10.590503,10.086867,18.996392,9.118348,9.34964,17.107997,9.949147,7.913192,16.635694,9.589135,7.159157
20.372057,12.027094,11.554888,18.791414,11.360906,11.07611,16.915565,10.212547,9.083322,15.779968,10.185246,8.020161,9.578777,8.139181,4.270755,19.244102,10.635575,10.101359,19.027136,9.13752,9.35434,17.147929,9.917162,7.929022,16.651695,9.523584,7.174349
20.391161,12.065,11.568936,18.811226,11.385132,11.089594,16.932482,10.192072,9.1007,15.823987,10.098652,8.027283,9.568985,8.283126,4.356187,19.269002,10.66591,10.116999,19.070052,9.168498,9.37238,17.195501,9.89349,7.96994,16.686728,9.442782,7.176655
20.414125,12.094177,11.571391,18.833244,11.425222,11.107524,16.971451,10.184148,9.126326,15.866384,10.014126,8.051726,9.545815,8.41827,4.421423,19.298612,10.723449,10.141799,19.109617,9.215593,9.382809,17.239305,9.866497,8.016577,16.713804,9.384111,7.195454
