"specimen","speedBL","angle_attack"
"0.5BL","se","33.2722970013873"
"0.5BL","se","32.6925443791503"
"0.5BL","se","32.5289547189494"
"0.5BL","se","32.9385775513914"
"0.5BL","se","32.7228615928556"
"0.5BL","se","32.3915610155582"
"0.5BL","se","32.3440469363561"
"0.5BL","se","31.715849922219"
"0.5BL","se","31.5529244009454"
"0.5BL","se","31.2378051136183"
"0.5BL","se","32.0326064381669"
"0.5BL","se","32.5469940139582"
"0.5BL","se","34.4510655443734"
"0.5BL","se","35.2642938894876"
"0.5BL","se","35.2233813410641"
"0.5BL","se","34.2273032909424"
"0.5BL","se","32.812880584992"
"0.5BL","se","32.881775613752"
"0.5BL","se","32.8378179565355"
"0.5BL","se","31.9472914180125"
"0.5BL","se","31.2784825596232"
"0.5BL","se","30.3269403217911"
"0.5BL","se","29.8321744698433"
"0.5BL","se","29.5016689566361"
"0.5BL","se","29.1207090411296"
"0.5BL","se","28.7551276003361"
"0.5BL","se","28.1213222263607"
"0.5BL","se","27.7599188007518"
"0.5BL","se","28.0914640821611"
"0.5BL","se","28.4374402442711"
"0.5BL","se","29.426938629579"
"0.5BL","se","29.9455506495345"
"0.5BL","se","29.3541529599642"
"0.5BL","se","28.4100455553851"
"0.5BL","se","28.4296753727158"
"0.5BL","se","28.7693958789022"
"0.5BL","se","29.1775622781704"
"0.5BL","se","29.2086440330621"
"0.5BL","se","30.2164568116868"
"0.5BL","se","30.6548016913937"
"0.5BL","se","30.9112367328497"
"0.5BL","se","30.9401964220868"
"0.75BL","se","61.5569585331995"
"0.75BL","se","61.820896863592"
"0.75BL","se","62.5120940484049"
"0.75BL","se","61.7580964097895"
"0.75BL","se","62.4760396414344"
"0.75BL","se","62.3411069699323"
"0.75BL","se","61.4602430398089"
"0.75BL","se","60.9069442155574"
"0.75BL","se","61.6475053968745"
"0.75BL","se","61.9637239912418"
"0.75BL","se","62.4472950840405"
"0.75BL","se","61.8819821932052"
"0.75BL","se","61.400260420133"
"0.75BL","se","61.8298720213138"
"0.75BL","se","62.1558224740915"
"0.75BL","se","62.6849592256482"
"0.75BL","se","63.3608297590192"
"0.75BL","se","63.2034296064414"
"0.75BL","se","62.2199708937565"
"0.75BL","se","61.1145366204572"
"0.75BL","se","60.0484522179454"
"0.75BL","se","58.8150412926612"
"0.75BL","se","57.7402666427676"
"0.75BL","se","56.436339085419"
"0.75BL","se","55.314913093125"
"0.75BL","se","53.608237303194"
"0.75BL","se","52.1459151458073"
"0.75BL","se","51.2160272540049"
"0.75BL","se","49.8271391354016"
"0.75BL","se","49.4565757297064"
"0.75BL","se","48.445024138695"
"0.75BL","se","48.370563688385"
"0.75BL","se","48.4047271131004"
"0.75BL","se","48.3072859731186"
"0.75BL","se","48.056232845895"
"0.75BL","se","47.607535859128"
"0.75BL","se","47.2322538949711"
"0.75BL","se","47.708591954544"
"0.75BL","se","48.2411136558354"
"0.75BL","se","49.0775668733378"
"0.75BL","se","49.2973453677193"
"1.25BL","se","47.4199477607427"
"1.25BL","se","47.5817334915434"
"1.25BL","se","47.2524927199133"
"1.25BL","se","47.1918295827874"
"1.25BL","se","48.3915074015154"
"1.25BL","se","48.6215287042041"
"1.25BL","se","48.6010498168541"
"1.25BL","se","49.6125211452632"
"1.25BL","se","49.936751012422"
"1.25BL","se","49.2526481330094"
"1.25BL","se","48.618529312125"
"1.25BL","se","48.2570273452723"
"1.25BL","se","46.7505777989016"
"1.25BL","se","46.8797621608804"
"1.25BL","se","45.772017084704"
"1.25BL","se","46.547081292947"
"1.25BL","se","45.9766828773796"
"1.25BL","se","45.0619140133803"
"1.25BL","se","43.8803513122041"
"1.25BL","se","42.336769675859"
"1.25BL","se","41.7503870297935"
"1.25BL","se","42.3412293806151"
"1.25BL","se","43.9249621681564"
"1.25BL","se","44.4516607025194"
"1.25BL","se","44.1841567156405"
"1.25BL","se","43.3462188371252"
"1.25BL","se","43.0307726017312"
"1.25BL","se","42.6099505562532"
"1.25BL","se","42.9980666501907"
"1.25BL","se","43.7391807664228"
"1.25BL","se","44.194733398508"
"1.25BL","se","44.5853359467021"
"1.25BL","se","44.683175620548"
"1.25BL","se","44.5877657058439"
"1.25BL","se","44.8988976736457"
"1.25BL","se","44.465982241819"
"1.25BL","se","44.3616151563354"
"1.25BL","se","44.5598400896555"
"1.25BL","se","44.509849356273"
"1.25BL","se","44.8512711448345"
"1.25BL","se","45.6653394302914"
"1.25BL","se","46.1432105629825"
"1.25BL","se","47.2566862148744"
"1.25BL","se","47.9769976867481"
"1.25BL","se","48.6187695260576"
"1.25BL","se","49.7521427745433"
"1.25BL","se","50.6413937663675"
"1.5BL","se","24.6103724895909"
"1.5BL","se","25.5428862200804"
"1.5BL","se","26.8928051336118"
"1.5BL","se","29.1041083199373"
"1.5BL","se","30.8371865670443"
"1.5BL","se","33.0237647787253"
"1.5BL","se","33.9702074100831"
"1.5BL","se","35.6477981087122"
"1.5BL","se","35.9514106669887"
"1.5BL","se","36.4481658626517"
"1.5BL","se","37.0244767867209"
"1.5BL","se","37.6772359441365"
"1.5BL","se","38.3605474642844"
"1.5BL","se","39.2808933901001"
"1.5BL","se","40.1249678810401"
"1.5BL","se","40.8905172044018"
"1.5BL","se","42.4772505381803"
"1.5BL","se","43.4936913308122"
"1.5BL","se","42.5554851455157"
"1.5BL","se","41.8130510018973"
"1.5BL","se","43.2902259139845"
"1.5BL","se","42.787798491514"
"1.5BL","se","43.8355278935411"
"1.5BL","se","43.7245907997429"
"1.5BL","se","42.533927948117"
"1.5BL","se","42.347296045092"
"1.5BL","se","43.4141620673967"
"1.5BL","se","43.05192721819"
"1.5BL","se","43.0798480354256"
"1.5BL","se","43.4459568297815"
"1.5BL","se","42.5103660252052"
"1.5BL","se","42.5350329273486"
"1.5BL","se","41.4317520252473"
"1.5BL","se","40.8613705611102"
"1.5BL","se","39.8102749320275"
"1.5BL","se","40.0342042467139"
"1.5BL","se","39.9322127583655"
"1.5BL","se","39.4254421182368"
"1.5BL","se","39.6847641710078"
"1.5BL","se","39.970057374213"
"1.5BL","se","40.4772960781203"
"1.5BL","se","40.6638613214711"
"1.75BL","se","50.9728494899517"
"1.75BL","se","51.2328657271851"
"1.75BL","se","51.6767895600783"
"1.75BL","se","51.1481167937735"
"1.75BL","se","50.8644773740162"
"1.75BL","se","50.3716306987326"
"1.75BL","se","50.7778125864148"
"1.75BL","se","51.3307575830352"
"1.75BL","se","52.1672273129601"
"1.75BL","se","54.0720010014216"
"1.75BL","se","55.3896383597206"
"1.75BL","se","56.3317698931528"
"1.75BL","se","57.1598805401382"
"1.75BL","se","59.0286296950685"
"1.75BL","se","58.5534019822335"
"1.75BL","se","58.3470461888968"
"1.75BL","se","58.2080469867882"
"1.75BL","se","56.8938144341077"
"1.75BL","se","55.5597629617444"
"1.75BL","se","54.0589105736397"
"1.75BL","se","52.7592049019521"
"1.75BL","se","50.8679754883138"
"1.75BL","se","49.7359761435689"
"1.75BL","se","49.1958628247786"
"1.75BL","se","47.4637746816756"
"1.75BL","se","46.5710003802465"
"1.75BL","se","45.7630984835501"
"1.75BL","se","44.0456935393111"
"1.75BL","se","43.1588313555086"
"1.75BL","se","41.7086582150077"
"1.75BL","se","40.1821374551294"
"1.75BL","se","39.2243837610005"
"1.75BL","se","38.0586410927904"
"1.75BL","se","37.597593568739"
"1.75BL","se","37.4983737291559"
"1.75BL","se","37.0980057993971"
"1.75BL","se","36.7896703620227"
"1.75BL","se","37.2394832342645"
"1.75BL","se","37.7113473203632"
"1.75BL","se","38.5457306521377"
"1.75BL","se","38.458394923141"
"1.75BL","se","38.4391254421078"
"1.75BL","se","39.3194107572843"
"1.75BL","se","39.7577878638349"
"1BL","se","40.3274057223973"
"1BL","se","39.2409298515705"
"1BL","se","38.7986101471849"
"1BL","se","38.7137583797111"
"1BL","se","38.4163228103221"
"1BL","se","37.5899326389538"
"1BL","se","36.7079984769627"
"1BL","se","36.319913130648"
"1BL","se","36.9596418222968"
"1BL","se","38.4689649348287"
"1BL","se","36.2695401272399"
"1BL","se","35.8880486919321"
"1BL","se","35.1844784136646"
"1BL","se","34.481009967212"
"1BL","se","33.7085413721831"
"1BL","se","33.7677139193983"
"1BL","se","33.1685349388005"
"1BL","se","32.2572130372103"
"1BL","se","31.3538499032892"
"1BL","se","30.9920192227194"
"1BL","se","31.0729614257165"
"1BL","se","32.5496667626549"
"1BL","se","34.1810256717135"
"1BL","se","36.2247303808742"
"1BL","se","37.7064835990499"
"1BL","se","39.2289788580795"
"1BL","se","40.0823666945303"
"1BL","se","40.7021812800524"
"1BL","se","42.918636171667"
"1BL","se","44.734611397583"
"1BL","se","45.3702626852846"
"1BL","se","45.2446847229063"
"1BL","se","46.3353557126778"
"1BL","se","46.3628533927737"
"1BL","se","46.6182775120393"
"2BL","se","31.4689675506048"
"2BL","se","31.4206874949134"
"2BL","se","31.411547618339"
"2BL","se","31.8092365984296"
"2BL","se","32.8107010148009"
"2BL","se","33.2388009126607"
"2BL","se","33.5772704533667"
"2BL","se","34.6435483960531"
"2BL","se","35.7476309472801"
"2BL","se","36.9479484038194"
"2BL","se","37.542164398342"
"2BL","se","38.1833240317524"
"2BL","se","38.6399585591112"
"2BL","se","40.2765090507353"
"2BL","se","39.7633804305766"
"2BL","se","40.0995895259864"
"2BL","se","40.9367667250065"
"2BL","se","39.9407584572643"
"2BL","se","39.6626702470491"
"2BL","se","39.8189651297234"
"2BL","se","39.8975380627939"
"2BL","se","39.0776382159865"
"2BL","se","39.306318304163"
"2BL","se","39.7168567373247"
"2BL","se","39.7652952345747"
"2BL","se","38.5056157936926"
"2BL","se","38.071597320653"
