"specimen","speedBL","alpha"
"0.5BL","se","48.537691955419"
"0.5BL","se","48.6185610614555"
"0.5BL","se","48.6816012639066"
"0.5BL","se","48.6745153651827"
"0.5BL","se","48.6079992924665"
"0.5BL","se","48.5445523288892"
"0.5BL","se","48.4250903486568"
"0.5BL","se","48.3789219595562"
"0.5BL","se","48.2614885095234"
"0.5BL","se","48.1886376108216"
"0.5BL","se","48.1625364632846"
"0.5BL","se","48.1705976641525"
"0.5BL","se","48.1528288285941"
"0.5BL","se","48.1824440716696"
"0.5BL","se","48.1092507700861"
"0.5BL","se","48.2896833144365"
"0.5BL","se","48.4412339795431"
"0.5BL","se","48.5589524529263"
"0.5BL","se","48.6099137503312"
"0.5BL","se","48.7021504012525"
"0.5BL","se","48.9525019541553"
"0.5BL","se","49.1273878709522"
"0.5BL","se","49.483560280946"
"0.5BL","se","49.7410350761365"
"0.5BL","se","49.9392963404047"
"0.5BL","se","50.1892175145667"
"0.5BL","se","50.4419551028057"
"0.5BL","se","50.7029866070473"
"0.5BL","se","50.8901228498972"
"0.5BL","se","51.0065607932982"
"0.5BL","se","51.1142055357445"
"0.5BL","se","51.3206798151999"
"0.5BL","se","51.2962743340819"
"0.5BL","se","51.2992601889902"
"0.5BL","se","51.33427148496"
"0.5BL","se","51.3726956201448"
"0.5BL","se","51.2658449540172"
"0.5BL","se","51.2965606328758"
"0.5BL","se","51.1903877541343"
"0.5BL","se","51.1837384023845"
"0.5BL","se","51.17773225644"
"0.5BL","se","51.1178861853634"
"0.75BL","se","45.086249222533"
"0.75BL","se","45.0153106634334"
"0.75BL","se","45.1768233989913"
"0.75BL","se","45.3520013975493"
"0.75BL","se","45.3802913757089"
"0.75BL","se","45.5686205941129"
"0.75BL","se","45.6572716607678"
"0.75BL","se","45.7412111672115"
"0.75BL","se","45.7175726523262"
"0.75BL","se","45.8569163805753"
"0.75BL","se","45.8012623815973"
"0.75BL","se","45.5819734054304"
"0.75BL","se","45.4695451844374"
"0.75BL","se","45.3330610376834"
"0.75BL","se","45.1580401020588"
"0.75BL","se","44.9731503412628"
"0.75BL","se","44.9394843629594"
"0.75BL","se","44.858567330142"
"0.75BL","se","44.8114894749493"
"0.75BL","se","44.7540270232864"
"0.75BL","se","44.6934614534053"
"0.75BL","se","44.5828183524342"
"0.75BL","se","44.5482848694212"
"0.75BL","se","44.5263061620671"
"0.75BL","se","44.4930322235681"
"0.75BL","se","44.3990085984117"
"0.75BL","se","44.335028725228"
"0.75BL","se","44.4791961183248"
"0.75BL","se","44.6913671132952"
"0.75BL","se","44.9406439263043"
"0.75BL","se","45.4338306894218"
"0.75BL","se","45.7076761039457"
"0.75BL","se","46.047449634993"
"0.75BL","se","46.3929619071534"
"0.75BL","se","46.6592358294712"
